75.0    q3      q3 (50.5, 75.25]
85.0    q4      q4 (75.25, 100.0]
44.0    q2      q2 (25.75, 50.5]
63.0    q3      q3 (50.5, 75.25]
27.0    q2      q2 (25.75, 50.5]
83.0    q4      q4 (75.25, 100.0]
90.0    q4      q4 (75.25, 100.0]
67.0    q3      q3 (50.5, 75.25]
77.0    q4      q4 (75.25, 100.0]
69.0    q3      q3 (50.5, 75.25]
88.0    q4      q4 (75.25, 100.0]
72.0    q3      q3 (50.5, 75.25]
8.0     q1      q1 (0.999, 25.75]
60.0    q3      q3 (50.5, 75.25]
18.0    q1      q1 (0.999, 25.75]
37.0    q2      q2 (25.75, 50.5]
45.0    q2      q2 (25.75, 50.5]
34.0    q2      q2 (25.75, 50.5]
28.0    q2      q2 (25.75, 50.5]
65.0    q3      q3 (50.5, 75.25]
70.0    q3      q3 (50.5, 75.25]
54.0    q3      q3 (50.5, 75.25]
23.0    q1      q1 (0.999, 25.75]
91.0    q4      q4 (75.25, 100.0]
22.0    q1      q1 (0.999, 25.75]
49.0    q2      q2 (25.75, 50.5]
16.0    q1      q1 (0.999, 25.75]
58.0    q3      q3 (50.5, 75.25]
36.0    q2      q2 (25.75, 50.5]
12.0    q1      q1 (0.999, 25.75]
43.0    q2      q2 (25.75, 50.5]
33.0    q2      q2 (25.75, 50.5]
32.0    q2      q2 (25.75, 50.5]
24.0    q1      q1 (0.999, 25.75]
2.0     q1      q1 (0.999, 25.75]
13.0    q1      q1 (0.999, 25.75]
46.0    q2      q2 (25.75, 50.5]
52.0    q3      q3 (50.5, 75.25]
66.0    q3      q3 (50.5, 75.25]
39.0    q2      q2 (25.75, 50.5]
98.0    q4      q4 (75.25, 100.0]
68.0    q3      q3 (50.5, 75.25]
30.0    q2      q2 (25.75, 50.5]
64.0    q3      q3 (50.5, 75.25]
61.0    q3      q3 (50.5, 75.25]
99.0    q4      q4 (75.25, 100.0]
10.0    q1      q1 (0.999, 25.75]
97.0    q4      q4 (75.25, 100.0]
92.0    q4      q4 (75.25, 100.0]
96.0    q4      q4 (75.25, 100.0]
7.0     q1      q1 (0.999, 25.75]
19.0    q1      q1 (0.999, 25.75]
100.0   q4      q4 (75.25, 100.0]
74.0    q3      q3 (50.5, 75.25]
5.0     q1      q1 (0.999, 25.75]
89.0    q4      q4 (75.25, 100.0]
50.0    q2      q2 (25.75, 50.5]
84.0    q4      q4 (75.25, 100.0]
1.0     q1      q1 (0.999, 25.75]
62.0    q3      q3 (50.5, 75.25]
41.0    q2      q2 (25.75, 50.5]
79.0    q4      q4 (75.25, 100.0]
59.0    q3      q3 (50.5, 75.25]
71.0    q3      q3 (50.5, 75.25]
31.0    q2      q2 (25.75, 50.5]
95.0    q4      q4 (75.25, 100.0]
73.0    q3      q3 (50.5, 75.25]
55.0    q3      q3 (50.5, 75.25]
93.0    q4      q4 (75.25, 100.0]
26.0    q2      q2 (25.75, 50.5]
14.0    q1      q1 (0.999, 25.75]
25.0    q1      q1 (0.999, 25.75]
94.0    q4      q4 (75.25, 100.0]
42.0    q2      q2 (25.75, 50.5]
47.0    q2      q2 (25.75, 50.5]
82.0    q4      q4 (75.25, 100.0]
80.0    q4      q4 (75.25, 100.0]
56.0    q3      q3 (50.5, 75.25]
57.0    q3      q3 (50.5, 75.25]
20.0    q1      q1 (0.999, 25.75]
86.0    q4      q4 (75.25, 100.0]
29.0    q2      q2 (25.75, 50.5]
21.0    q1      q1 (0.999, 25.75]
53.0    q3      q3 (50.5, 75.25]
3.0     q1      q1 (0.999, 25.75]
81.0    q4      q4 (75.25, 100.0]
35.0    q2      q2 (25.75, 50.5]
38.0    q2      q2 (25.75, 50.5]
6.0     q1      q1 (0.999, 25.75]
11.0    q1      q1 (0.999, 25.75]
40.0    q2      q2 (25.75, 50.5]
15.0    q1      q1 (0.999, 25.75]
17.0    q1      q1 (0.999, 25.75]
51.0    q3      q3 (50.5, 75.25]
76.0    q4      q4 (75.25, 100.0]
87.0    q4      q4 (75.25, 100.0]
78.0    q4      q4 (75.25, 100.0]
48.0    q2      q2 (25.75, 50.5]
4.0     q1      q1 (0.999, 25.75]
9.0     q1      q1 (0.999, 25.75]
